,A1,C4
PE190440,1,0
PE190458,1,0
PE190481,1,0
PE190552,1,0
PE190554,1,0
PE190591,1,0
PE190656,1,0
PE190733,1,0
PE190734,1,0
PE190735,1,0
PE190737,1,0
PE190738,1,0
PE190740,1,0
PE190742,1,0
PE190743,1,0
PE190745,1,0
PE190747,1,0
PE190749,1,0
PE190760,1,0
PE190765,1,0
PE190773,1,0
PE190777,1,0
PE190780,1,0
PE190782,1,0
PE190786,1,0
PE190789,1,0
PE190790,1,0
PE190791,1,0
PE190797,1,0
PE190799,1,0
PE190800,1,0
PE190802,1,0
PE190803,1,0
PE190804,1,0
PE190805,1,0
PE190806,1,0
PE190807,1,0
PE190808,1,0
PE190811,1,0
PE190819,1,0
PE190820,1,0
PE190822,1,0
PE190824,1,0
PE190825,1,0
PE190827,1,0
PE190830,1,0
PE190831,1,0
PE190835,1,0
PE190836,1,0
PE190838,1,0
PE190840,1,0
PE190846,1,0
PE190848,1,0
PE190849,1,0
PE190852,1,0
PE190854,1,0
PE190855,1,0
PE190856,1,0
PE190859,1,0
PE190860,1,0
PE190861,1,0
PE190863,1,0
PE190864,1,0
PE190866,1,0
PE190867,1,0
PE190868,1,0
PE190873,1,0
PE190877,1,0
PE190879,1,0
PE190882,1,0
PE190883,1,0
PE190886,1,0
PE190889,1,0
PE190890,1,0
PE190893,1,0
PE190896,1,0
PE190898,1,0
PE190899,1,0
PE190900,1,0
PE190903,1,0
PE190905,1,0
PE190906,1,0
PE190907,1,0
PE190908,1,0
PE190912,1,0
PE190913,1,0
PE190917,1,0
PE190918,1,0
PE190922,1,0
PE190929,1,0
PE190931,1,0
PE190934,1,0
PE190935,1,0
PE190937,1,0
PE190939,1,0
PE190946,1,0
PE190949,1,0
PE190950,1,0
PE190952,1,0
PE190955,1,0
PE190958,1,0
PE190964,1,0
PE190969,1,0
PE190975,1,0
PE190979,1,0
PE190980,1,0
PE190981,1,0
PE190984,1,0
PE190987,1,0
PE190990,1,0
PE190992,1,0
PE190993,1,0
PE190995,1,0
PE190996,1,0
PE190998,1,0
PE191000,1,0
PE191004,1,0
PE191005,1,0
PE191007,1,0
PE191008,1,0
PE191009,1,0
PE191011,1,0
PE191013,1,0
PE191018,1,0
PE191019,1,0
PE191021,1,0
PE191023,1,0
PE191026,1,0
PE191027,1,0
PE191032,1,0
PE191037,1,0
PE191038,1,0
PE191039,1,0
PE191042,1,0
PE191044,1,0
PE191045,1,0
PE191047,1,0
PE191073,1,0
PE191074,1,0
PE191076,1,0
PE191077,1,0
PE191080,1,0
PE191083,1,0
PE191084,1,0
PE191085,1,0
PE191086,1,0
PE191087,1,0
PE191088,1,0
PE191089,1,0
PE191091,1,0
PE191098,1,0
PE191099,1,0
PE191100,1,0
PE191102,1,0
PE191103,1,0
PE191104,1,0
PE191106,1,0
PE191108,1,0
PE191111,1,0
PE191114,1,0
PE191118,1,0
PE191120,1,0
PE191122,1,0
PE191124,1,0
PE191126,1,0
PE191127,1,0
PE191129,1,0
PE191130,1,0
PE191131,1,0
PE191134,1,0
PE191139,1,0
PE191141,1,0
PE191142,1,0
PE191144,1,0
PE191154,1,0
PE191155,1,0
PE191160,1,0
PE191165,1,0
PE191166,1,0
PE191170,1,0
PE191175,1,0
PE191176,1,0
PE191177,1,0
PE191180,1,0
PE191181,1,0
PE191182,1,0
PE191183,1,0
PE191185,1,0
PE191187,1,0
PE191188,1,0
PE191189,1,0
PE191190,1,0
PE191191,1,0
PE191192,1,0
PE191194,1,0
PE191196,1,0
PE191197,1,0
PE191199,1,0
PE191200,1,0
PE191202,1,0
PE191203,1,0
PE191205,1,0
PE191208,1,0
PE191210,1,0
PE191211,1,0
PE191217,1,0
PE191218,1,0
PE191223,1,0
PE191226,1,0
PE191227,1,0
PE191230,1,0
PE191232,1,0
PE191236,1,0
PE191238,1,0
PE191239,1,0
PE191241,1,0
PE191242,1,0
PE191243,1,0
PE191250,1,0
PE191251,1,0
PE191252,1,0
PE191254,1,0
PE191255,1,0
PE191257,1,0
PE191258,1,0
PE191260,1,0
PE191261,1,0
PE191264,1,0
PE191266,1,0
PE191269,1,0
PE191270,1,0
PE191271,1,0
PE191272,1,0
PE191273,1,0
PE191275,1,0
PE191279,1,0
PE191280,1,0
PE191281,1,0
PE191283,1,0
PE191288,1,0
PE191290,1,0
PE191292,1,0
PE191295,1,0
PE191296,1,0
PE191298,1,0
PE191304,1,0
PE191305,1,0
PE191306,1,0
PE191308,1,0
PE191310,1,0
PE191311,1,0
PE191315,1,0
PE191316,1,0
PE191321,1,0
PE191325,1,0
PE191328,1,0
PE191330,1,0
PE191332,1,0
PE191335,1,0
PE191338,1,0
PE191339,1,0
PE191341,1,0
PE191344,1,0
PE191347,1,0
PE191348,1,0
PE191350,1,0
PE191351,1,0
PE191352,1,0
PE191354,1,0
PE191355,1,0
PE191358,1,0
PE191359,1,0
PE191360,1,0
PE191363,1,0
PE191365,1,0
PE191366,1,0
PE191367,1,0
PE191369,1,0
PE191372,1,0
PE191374,1,0
PE191376,1,0
PE191377,1,0
PE191382,1,0
PE191383,1,0
PE191384,1,0
PE191388,1,0
PE191389,1,0
PE191392,1,0
PE191393,1,0
PE191399,1,0
PE191408,1,0
PE191411,1,0
PE191412,1,0
PE191413,1,0
PE191414,1,0
PE191416,1,0
PE191424,1,0
PE191426,1,0
PE191427,1,0
PE191428,1,0
PE191429,1,0
PE191434,1,0
PE191435,1,0
PE191436,1,0
PE191437,1,0
PE191444,1,0
PE191445,1,0
PE191446,1,0
PE191449,1,0
PE191450,1,0
PE191452,1,0
PE191453,1,0
PE191454,1,0
PE191460,1,0
PE191463,1,0
PE191467,1,0
PE191468,1,0
PE191469,1,0
PE191470,1,0
PE191474,1,0
PE191475,1,0
PE191476,1,0
PE191477,1,0
PE191479,1,0
PE191480,1,0
PE191481,1,0
PE191482,1,0
PE191483,1,0
PE191484,1,0
PE191486,1,0
PE191487,1,0
PE191491,1,0
PE191495,1,0
PE191499,1,0
PE191500,1,0
PE191501,1,0
PE191509,1,0
PE191510,1,0
PE191511,1,0
PE191514,1,0
PE191516,1,0
PE191517,1,0
PE191518,1,0
PE191519,1,0
PE191520,1,0
PE191521,1,0
PE191522,1,0
PE191523,1,0
PE191524,1,0
PE191525,1,0
PE191533,1,0
PE191536,1,0
PE191537,1,0
PE191538,1,0
PE191539,1,0
PE191540,1,0
