,A1,C4
PE180515,1,0
PE180525,1,0
PE180540,1,0
PE180543,1,0
PE180544,1,0
PE180554,1,0
PE180561,1,0
PE180587,1,0
PE180590,1,0
PE180596,1,0
PE180598,1,0
PE180607,1,0
PE180624,1,0
PE180625,1,0
PE180626,1,0
PE180633,1,0
PE180634,1,0
PE180635,1,0
PE180639,1,0
PE180651,1,0
PE180662,1,0
PE180668,1,0
PE180692,1,0
PE180709,1,0
PE180722,1,0
PE180725,1,0
PE180730,1,0
PE180737,1,0
PE180773,1,0
PE180778,1,0
PE180824,1,0
PE180826,1,0
PE180833,1,0
PE180836,1,0
PE180850,1,0
PE180866,1,0
PE180868,1,0
PE180874,1,0
PE180878,1,0
PE180880,1,0
PE180881,1,0
PE180891,1,0
PE180895,1,0
PE180896,1,0
PE180908,1,0
PE180910,1,0
PE180917,1,0
PE180919,1,0
PE180922,1,0
PE180932,1,0
PE180934,1,0
PE180935,1,0
PE180941,1,0
PE180951,1,0
PE180985,1,0
PE180990,1,0
PE180999,1,0
PE181016,1,0
PE181030,1,0
PE181041,1,0
PE181053,1,0
PE181083,1,0
PE181090,1,0
PE181110,1,0
PE181114,1,0
PE181116,1,0
PE181142,1,0
PE181148,1,0
PE181151,1,0
PE181168,1,0
PE181184,1,0
PE181188,1,0
PE181189,1,0
PE181195,1,0
PE181210,1,0
PE181226,1,0
PE181228,1,0
PE181229,1,0
PE181234,1,0
PE181236,1,0
PE190007,1,0
PE190008,1,0
PE190022,1,0
PE190023,1,0
PE190029,1,0
PE190034,1,0
PE190072,1,0
PE190079,1,0
PE190088,1,0
PE190095,1,0
PE190107,1,0
PE190114,1,0
PE190115,1,0
PE190128,1,0
PE190129,1,0
PE190132,1,0
PE190142,1,0
PE190148,1,0
PE190164,1,0
PE190170,1,0
PE190191,1,0
PE190207,1,0
PE190218,1,0
PE190219,1,0
PE190220,1,0
PE190230,1,0
PE190245,1,0
PE190284,1,0
PE190301,1,0
PE190326,1,0
PE190329,1,0
PE190347,1,0
PE190361,1,0
PE190369,1,0
PE190371,1,0
PE190373,1,0
PE190384,1,0
PE190399,1,0
PE190409,1,0
PE190414,1,0
PE190415,1,0
PE190417,1,0
PE190424,1,0
PE190449,1,0
PE190455,1,0
PE190470,1,0
PE190527,1,0
PE190531,1,0
PE190534,1,0
PE190540,1,0
PE190567,1,0
PE190580,1,0
PE190618,1,0
PE190627,1,0
PE190640,1,0
PE190644,1,0
PE190670,1,0
PE190678,1,0
PE190690,1,0
PE190697,1,0
PE190728,1,0
ST17009,1,0
ST17010,1,0
ST17011,1,0
ST17012,1,0
ST17014,1,0
ST17017,1,0
